"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DESIGNER";"DIGIKEY_PART";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MANU_PART";"MOUSER_PART";"MOUSER_PART_NUMBER";"PACKAGE";"PROD_ID";"REV";"VALUE";
"1V8";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"3V0";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C2";"10nF";"10NF-0402T-25V-10%";"0402-TIGHT";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14847";"";"10nF";
"C3";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C4";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C5";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C6";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C7";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C8";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C9";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C10";"47nF";"47NF-0402_TIGHT-25V-10%-X7R";"0402-TIGHT";"47nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14243";"";"47nF";
"C11";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C12";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C13";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14848";"";"10uF";
"C14";"10uF";"10UF-0402T-6.3V-20%";"0402-TIGHT";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14848";"";"10uF";
"C15";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C16";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C17";"1.0nF";"1.0NF/1000PF-0402_TIGHT-50V-10%";"0402-TIGHT";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14280";"";"1.0nF";
"C18";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C19";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C20";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C21";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C22";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C23";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C24";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C25";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C26";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C27";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C28";"9.1pF";"9.1PF-0402-TIGHT";"0402-TIGHT";"9.1pF ceramic capacitors";"";"";"";"";"";"";"609-500R07S9R1CV4T";"";"";"CAP-15278";"";"9.1pF";
"C29";"2.4 pF";"2.4PF-0402";"0402_MURATA";"";"";"";"";"";"";"";"";"";"";"CAP-14351";"";"2.4 pF";
"C30";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C31";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C32";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C33";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C34";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C35";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C36";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C37";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C38";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C39";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C40";"22pF";"22PF-0402T-16V-10%";"0402-TIGHT";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14674";"";"22pF";
"C41";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C42";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C43";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C44";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C45";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C46";"1.0uF";"1.0UF-0402T-16V-10%";"0402-TIGHT";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"1.0uF";
"C47";"100pF";"100PF-0402T-50V-5%";"0402-TIGHT";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-13458";"";"100pF";
"C48";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C49";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-15083";"";"0.1uF";
"C50";"0.1uF";"0.1UF-0402T-6.3V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14993";"";"0.1uF";
"C51";"0.1uF";"0.1UF-0402T-10V-10%-X7R";"0402-TIGHT";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-15083";"";"0.1uF";
"C52";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"C53";"2.2uF";"2.2UF-0402_TIGHT-10V-10%-X5R";"0402-TIGHT";"2.2µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"CAP-14232";"";"2.2uF";
"CS0";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FD4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"FIDUCIAL-MICRO";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_CEN";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_SCLK";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_SI";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FLSH_SO";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"FRAME1";"FRAME-LEDGER";"FRAME-LEDGER";"CREATIVE_COMMONS";"Schematic Frame - Ledger";"";"";"";"";"";"";"";"";"";"";"";"";
"G16";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"JUMPER-SMT_2_NC_TRACE_NO-SILK";"SMT-JUMPER_2_NC_TRACE_NO-SILK";"Normally closed trace jumper";"";"";"";"";"";"";"";"";"";"";"";"";
"GPIO0";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"IN";"";"CONN_16FPC_16_0.5MM";"FPC_16_0.5MM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-16066";"";"";
"J25";"U.FL";"U.FL2PIN-REDUCED-FOOTPRINT";"U.FL_REDUCED_FOOTPRINT";"SMD Antenna Connector - U.FL";"";"";"";"";"";"";"";"";"";"CONN-09193";"";"";
"K1";"TLP3475SRHA";"TLP3475SRHA";"TLP3475SRHA";"Solid State Relays - PCB Mount Photo-IC 400mA 60V 500Vrms";"Solid State Relays - PCB Mount Photo-IC 400mA 60V 500Vrms";"";"264-TLP3475SRHA(TPECT-ND - Cut Tape (CT)";"Toshiba";"TLP3475SRHA";"";"";"";"";"IC-16019";"";"";
"L1";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L2";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L3";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L4";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L5";"15nH";"15NH-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"994-0402HP-15NXGLU";"";"";"NDUC-15272";"";"15nH";
"L6";"27nH";"27NH-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"994-0402HP-27NXGLU";"";"";"NDUC-15273";"";"27nH";
"L7";"18nH";"18NH-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"994-0402HP-18NXGLU";"";"";"NDUC-15277";"";"18nH";
"L8";"12nH";"12NH-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"994-0402HP-12NXGLU";"";"";"NDUC-15271";"";"12nH";
"L9";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L10";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L11";"30nH";"30NH-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"994-0402HP-30NXGLU";"";"";"NDUC-15275";"";"30nH";
"L12";"51nH";"51NH-0402";"0402_COILCRAFT";"";"";"";"";"";"";"";"994-0402HP-51NXGLU";"";"";"NDUC-15276";"";"51nH";
"L13";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L14";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"L15";"30Ω";"FERRITE_BEAD-0402-30OHM-100MHZ";"0402-TIGHT";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"NDUC-15133";"";"30Ω";
"LOGO1";"SPECIAL_INSTRUCTIONS-ORDERING";"SPECIAL_INSTRUCTIONS-ORDERING";"ORDERING_INSTRUCTIONS";"Special Ordering/Production Instructions Alert";"";"";"";"";"";"";"";"";"";"";"";"";
"LOGO2";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";"";"";"";
"LOGO3";"OSHW-LOGOMINI";"OSHW-LOGOMINI";"OSHW-LOGO-MINI";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";"";"";"";"";"";"";"";
"OUT";"";"CONN_16FPC_16_0.5MM";"FPC_16_0.5MM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"CONN-16066";"";"";
"Q2";"5.8A/30V/35mΩ";"MOSFET-NCH-AO3404A";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"TRANS-12988";"";"5.8A/30V/35mΩ";
"R1";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-14241";"";"10k";
"R2";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"";"";"";"";"";"";"";"";"RES-14962";"";"100";
"R3";"3.9";"3.9OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"3.9Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15270";"";"3.9";
"R4";"33k";"33KOHM-0402T-1/16W-1%";"0402-TIGHT";"33kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-15128";"";"33k";
"R5";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-13495";"";"100k";
"R6";"220";"220OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"220Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15269";"";"220";
"R7";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-14241";"";"10k";
"R8";"100k";"100KOHM-0402T-1/16W-1%";"0402-TIGHT";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-13495";"";"100k";
"R9";"0.1";"0.1OHM-0603-1/3W-1%";"0603";"0.1Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15715";"";"0.1";
"R11";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"";"";"";"";"";"";"";"";"RES-14962";"";"100";
"R12";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-14241";"";"10k";
"R14";"470";"470OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"470Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15584";"";"470";
"R17";"47";"47OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"47Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15585";"";"47";
"U$2";"SMOL_LOGOSMALL";"SMOL_LOGOSMALL";"SMOL_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"SMOL_LOGOSMALL";"SMOL_LOGOSMALL";"SMOL_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"SPARKX-LOGO3";"SPARKX-LOGO3";"SPARKX-SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"SPARKX-LOGO2";"SPARKX-LOGO2";"SPARKX-TINY";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ADM4210_1TSOT6";"ADM4210_1TSOT6";"TSOT6";"Hot Swap Controller";"";"";"";"";"";"";"";"";"";"IC-16020";"";"";
"U2";"1.8V/100mA";"V_REG_SP6214-1.8V";"SC70";"Voltage Regulator - SP6214";"";"";"";"";"";"";"";"";"";"VREG-08428";"";"1.8V/100mA";
"U3";"ARTIC_R2";"ARTIC_R2";"QFN-48";"AnSem ARTIC R2 Chipset";"";"";"";"";"";"";"";"";"";"IC-15312";"";"";
"U4";"RFPA0133";"RFPA0133";"QFN50P300X300X86-17N";"IC PROG PWR AMP 16-QFN";"";"";"";"Qorvo";"RFPA0133TR7";"";"";"772-RFPA0133";"";"IC-15274";"";"";
"U5";"AS179-92LF";"AS179-92LF";"SOT65P220X100-6N";"SKYWORKS SOLUTIONS - AS179-92LF - IC, SWITCH, RF, SPDT, 0.02-3.0GHZ";"";"";"";"";"";"";"";"";"";"IC-15047";"";"";
"U6";"3.0V";"V_REG_LP5907SOT23-3.0V";"SOT23-5";"LP5907 - 250mA Ultra-Low-Noise LDO Regulator w/ Enable";"";"";"296-40357-1-ND";"";"";"LP5907MFX-3.0/NOPB";"595-LP5907MFX-3.0NPB";"";"SOT-23(5)";"VREG-15586";"";"3.0V";
"U7";"SST25VF020BUSON";"SST25VF020BUSON";"USON_3X2MM";"2Mbit Serial Flash Memory";"";"";"SST25VF020B-80-4I-Q3AE-TCT-ND";"";"";"SST25VF020B-80-4I-Q3AE-T";"";"";"";"IC-15716";"";"";
"U8";"PCA9536";"PCA9536";"MSOP8";"PCA9536 4-Bit I2C I/O Expander";"";"";"";"";"";"";"";"";"";"IC-15034";"";"";
"VDD";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"CRYSTAL-TCXO-26MHZ";"CRYSTAL-TCXO-26MHZ";"CRYSTAL-TCXO-SMD-1.65X1.25";"26MHz Crystal Oscillator";"";"";"";"";"";"";"449-LFTCXO073004CUTT";"";"";"XTAL-15279";"";"";
